home,road,line,lineopen,neutral,linesag,linesage,linesagp,linesaggm,linemoore,linefox,linedunkel,lineteamrnks,linedok,linepugh,linedd,line7ot,linepir,linemassey,lineespn,lineer,lineround,linetalis,linedonc,line70t,lineavg,std
Akron,Ohio,3.5,4,1,5.5,4.48,5.89,6.16,2.92,5,5.378,6,3.86,6.87,,7,6.6,6.4,8.0847732797,,6,5.9,5.9,,5.68392333,1.2136911262
Arizona St.,Washington St.,6,5.5,1,5.51,3.09,7.02,6.63,6.43,5,6.641,6.2,5.35,6.85,,6,6.4,5.72,8.2606465737,,,,,,6.0847420441,1.2309159242
Ball St.,Kent St.,-1,-1,1,1.19,3.91,-0.23,-0.14,1.87,3,1.415,0.8,-0.13,-0.13,,1,0.8,0.28,0.4052432539,0.29,-2,0.6,,,0.7456402034,1.3755163416
Baylor,Kansas St.,10,10,1,10.52,10.34,9.87,12.17,9.84,10,12.709,10.7,11.69,11.33,,16,11.1,14.81,12.314436946,,,,11.1,,11.320959782,1.3608456914
Bethune Cookman,Morgan St.,3,2,1,4.56,6.14,3.93,3.33,3.41,2,0.435,2.5,1.93,2.65,,4,2.4,1.55,3.4838812564,1.67,2,3.8,3.1,,2.8758165445,1.3319417229
Bowling Green,Toledo,-1.5,0,1,-0.66,-2.52,-0.67,1.23,-3.48,0.01,0.935,-1.9,-2.37,-0.23,,7,-1.4,-0.37,-3.161618303,,1,-2.9,-1.1,,-1.099163644,1.5142541362
CS Northridge,Cal St. Fullerton,3,3,1,3.72,7.71,0.98,2.31,2.92,2,1.462,0.7,2.27,1.26,,9,1.2,2.75,1.929334404,2.4,-1,0.7,,,2.0819584003,1.8636051577
Central Florida,South Florida,0,0,1,-0.26,0.12,-1.28,0.35,1.55,2,-0.462,-0.4,-1.59,0.08,,1,0.1,0.05,0.0021980834,-0.16,-1,0.5,-0.7,,-0.06469423,0.8965314409
Connecticut,Tulane,9.5,10,1,11.46,14.99,9.79,10.16,9.35,12,11.225,9.7,8.45,10.19,,9,9.7,10.09,11.26848332,9.61,8,9.8,,,10.361467707,1.6199142462
Creighton,St. John's,5,4,1,5.98,4.96,6.15,6.61,6.12,7,7.056,6.5,8.07,6.97,,9,5.3,8.04,6.6047710727,,,,,,6.5662131594,0.9097398257
Davidson,La Salle,9,9,1,7.41,8.35,7.55,6.39,9.51,11,9.276,9.4,7.83,9.06,,5,8.4,5.58,10.330378106,9.48,6,9,7.2,,8.3391987121,1.5126030975
Duke,North Carolina St.,8,8,1,5.12,2.23,10.29,8.57,9.56,8,10.299,9.9,7.49,9.9,,9,9.5,6.86,12.570143815,9.44,,,,,8.5520817011,2.5509831684
Duquesne,Fordham,9.5,9,1,9.78,8.64,9.75,11.03,9.06,7,8.567,10.1,11.2,10.7,,11,10.5,10.85,11.059712471,11.57,,,10.5,,10.020447498,1.2450647722
Eastern Washington,CS Sacramento,4.5,4,1,6.35,8.08,4.99,6.53,6.65,6,6.144,4.5,2.86,4.23,,2,4.3,4.81,4.4619871448,3.35,,,5.1,,5.2237324763,1.3861779549
Florida,Georgia,8,7.5,1,5.54,4.7,6.23,6.09,8.89,9,7.385,6.7,5.95,7.41,,9,6.8,6.57,10.001831192,,,,7.5,,7.0547736566,1.4509257882
Florida St.,Clemson,7,7,1,7.99,8.84,6.61,8.69,8.02,7,4.841,6.9,5.87,6.24,,10,7.1,8.89,7.2981565924,8.6,,,8.3,,7.4126104395,1.2043779584
Grand Canyon,Mo Kansas City,-1.5,-1.5,1,-3.57,-5.61,-2.24,-2.77,-3.14,-6,0.114,-1.7,-1.9,-0.43,,-1,-1.9,-2.78,-3.341504239,-0.99,1,-5.1,-3,,-2.550441426,1.9101435098
Hawaii,UC Davis,2,1.5,1,0.9,-2.02,1.67,2.87,1.48,-1,0.631,1.5,2.2,3.18,,6,1.2,0.37,0.7397845325,3.16,3,0.1,,,1.2487990333,1.4804269147
Iowa,Minnesota,1.5,1.5,1,1.51,1.42,0.85,2.29,-0.62,-2,1.581,0.6,2.48,-0.18,,5,1.1,1.35,1.0121487565,2.04,,,,,0.9595106255,1.2095503659
Kansas,Oklahoma St.,11,11,0,13.61,11.15,14.28,14.48,14.84,13,15.686,16.2,9.45,15.5,,14,12,18.5,17.328294248,,,,11.3,,14.094592446,2.5331095267
Louisiana Tech,Marshall,5,5,1,4.18,2.42,4.77,5.28,5.94,6,4.141,5.5,3.83,5.65,,7,5.6,4.7,7.9969742652,,,,,,5.0775364819,1.337805447
Louisville,Syracuse,6,5.5,1,3.6,0.26,6.14,6.35,5.55,3,5.5,6.6,4.98,6.98,,10,6.7,6.05,7.0976321489,,,,7.5,,5.4505451535,1.9686717025
Massachusetts,VA Commonwealth,-7,-7.5,1,-3.83,2.91,-8.09,-7.44,-5.14,-7,-10.545,-9.3,-7.15,-8.95,,-8,-8.1,-4.73,-10.08605106,-9.16,-7,-8.1,-7.1,,-6.988885357,3.1280029177
Memphis,East Carolina,10.5,11,1,13.27,10.77,14.8,14.7,13.24,10,8.361,13.4,8.98,12.9,,11,12.4,11.68,16.000968633,10.87,12,13.4,10.8,,12.210115802,2.0785007209
Monmouth,Quinnipiac,4,4,1,2.62,2.49,2.76,2.62,1.98,3,5.121,3.4,2.67,3.95,,7,3.3,3.48,3.3515940399,4.16,2,3.1,4.2,,3.1883878847,0.8273915885
Montana,Idaho St.,10.5,10,1,9.72,9.1,9.06,11.04,9.43,11,11.301,8.2,8.63,9.63,,6,8.9,9.18,6.8271188614,12.01,,,9.8,,9.5885412574,1.3259794565
NC Charlotte,Florida International,1.5,1,1,-1.31,-1.4,-1.26,-1.29,0.31,-3,0.055,-1,-0.58,0.5,,3,-0.6,-1.33,0.9129978925,,,,,,-0.768615547,1.036652545
New Mexico St.,Chicago St.,28.5,28,1,28.82,30.79,28.18,28.77,26.88,34,30.509,29.9,25.29,28.89,,25,29.3,34.81,37.005932955,30.36,25,31.3,27.3,,29.829701939,3.1877426698
Nicholls St.,Lamar,1.5,1.5,1,1.47,1.28,1.75,1.45,5.43,1,1.709,3.3,2.12,3.95,,1,3.9,2.76,4.6528150068,,,,4.1,,2.7765582148,1.4334791246
Norfolk St.,Coppin St.,6,8,1,5.03,4.25,6.21,5.03,5.24,8,8.861,6.3,7.9,6.84,,10,6.3,4.72,7.4449043665,8.49,6,9.8,6,,6.6127002569,1.5857045427
North Texas,Florida Atlantic,7.5,7.5,1,5.62,3.97,7.35,5.62,8.56,5,8.685,7.6,6.53,9.31,,7,7.9,7.98,11.771839939,,,,,,7.3766799953,2.0615192569
Northern Colorado,Southern Utah,6,6,1,6.88,9.97,5.63,5.41,6.04,10,5.49,4.8,4.07,4.88,,5,5.3,7.17,7.5268896237,6.38,,,6,,6.3697926416,1.7317372152
Northern Illinois,Miami-Ohio,2,2,1,0.83,-3.1,2.66,2.97,1.13,0.01,4.543,2.7,1.61,3.1,,4,3.1,2.77,2.4882104617,,2,3,,,1.9874140308,1.7894576664
Ohio St.,Purdue,2,1.5,1,2.74,3.47,2.11,2.55,2.53,1,-2.541,2.9,2.22,3.6,,3,2.8,3.18,2.0208710779,2.26,3,2.7,3.1,,2.3317571222,1.3980443753
Oklahoma,West Virginia,-4,-3.5,1,-1.69,1.04,-4.39,-2.58,-5.43,-1,-2.633,-3.5,-3.34,-4.77,,-7,-3.6,-2.79,-5.418171194,-5.07,-4,-4.9,-4.1,,-3.4218336,1.7142017086
Oregon,Oregon St.,7,7,1,6.93,5.42,7.83,7.71,8.02,8,7.632,7.6,6.05,8.34,,9,7.3,7,9.0714373975,8.49,,,7.4,,7.5195624932,0.9221093492
Penn St.,Indiana,2.5,2,1,-1.21,-4.12,1.41,1.25,1.49,0.01,4.261,1.4,2.15,1.34,,1,1.1,1.45,1.0198741054,,,,,,0.8885287773,1.9328924816
